Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Greater Monkey-faced Bat,Pteralopex flanneryi,Chiroptera,Pteropodidae,1968,53,0,"Habitat loss, Hunting ",1,0,Australian ,1,Papua New Guinea,,CR,
Zuniga's Dark Rice Rat,Melanomys zunigae,Rodentia,Cricetidae,1949,72,1,Habitat loss,0,0,South American,1,Peru,,CR,
Spiny Rat sp.,Punomys kofordi,Rodentia,Cricetidae,1970,51,0,Possibly climate change,0,1,South American,1,Peru,,NT,
Large-toothed Batomys,Batomys dentatus,Rodentia,Muridae,1907,114,0,Habitat loss assumed,1,1,Oriental,1,Phillipines,Luzon,DD,
Lesser Yellow Bat,Scotophilus borbonicus,Chiroptera,Vespertilionidae,1868,153,0,None known,1,0,African,1,Reunion,,DD,
Emperor Rat,Uromys imperator,Rodentia,Muridae,1888,133,1,"Unknown. Habitat loss, introduced predators, hunting and habitat loss hypothesised.",1,0,Australian ,1,Solomon Islands,,CR,
Guadalcanal Rat,Uromys porculus,Rodentia,Muridae,1888,133,1,"Unknown. Habitat loss, introduced predators, hunting and habitat loss hypothesised.",1,0,Australian ,1,Solomon Islands,,CR,
Ontong Java Flying Fox,Pteropus howensis,Chiroptera ,Pteropodidae,1945,76,0,"Natural disaster, Climate change",1,0,Australian ,1,Solomon Islands,,DD,
De Winton's Golden Mole,Cryptochloris wintoni,Afrosoricida,Chrysochloridae,1907,114,1,Habitat loss,0,0,African,1,South Africa,,CR,
Williamson's Chevrotain,Tragulus williamsoni,Cetartiodactyla,Tragulidae,1916,105,0,Unknown but hunting and habitat loss presumed,0,1,Oriental,1,Thailand,,DD,
Groove-toothed Forest Mouse,Leimacomys buettneri,Rodentia,Muridae,1893,128,0,Unknown but habitat loss presumed,0,0,African,1,Togo,,DD,
