Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Greater Virgin Islands Skink,Spondylurus spilonotus,Squamata,Scincidae,1887,134,1,Introduced predators,1,0,South American,1,United States Virgin Islands,,CR,
Haensch's Whorltail Iguana,Stenocercus haenschi,Squamata,Tropiduridae,1901,120,1,Habitat Loss,0,0,South American,1,Ecuador,Choco region,CR,
Ivy Whorltail Iguana,Stenocercus ivitus,Squamata,Tropiduridae,1970,51,0,Unknown. Habitat loss hypothesised,0,1,South American,1,Peru,,DD,Known only from holotype.
Slender Snake,Tachymenis tarmensis,Squamata,Dipsadidae,1914,107,0,Unknown,0,1,South American,1,Peru,,DD,Known only from holotype. Taxonomy uncertain.
Barbour's Centipede Snake,Tantilla albiceps,Squamata,Colubridae,1925,96,0,Biogeographical isolation,0,0,South American,1,Panama,,DD,Known only from holotype. 
Andes Centipede Snake,Tantilla andinista,Squamata,Colubridae,1970,51,0,Habitat Loss,0,1,South American,1,Ecuador,,DD,Known only from holotype.
Centipede Snake sp.,Tantilla bairdi,Squamata,Colubridae,1940,81,0,Unknown,0,1,South American,1,Guatemala,,DD,Known only from holotype.
Centipede Snake sp.,Tantilla johnsoni,Squamata,Colubridae,1968,53,0,None,0,0,South American,1,Mexico,,DD,Known only from type series.
Jamaican Giant Gecko,Tarentola albertschwartzi,Squamata,Phyllodactylidae,1884,137,0,Unknown. Disturbance and introduced predators hypothesised,1,0,South American,1,Jamaica,,DD,Known only from holotype.
Snake sp.,Thamnodynastes ceibae,Squamata,Dipsadidae,1963,58,0,Unknown. Habitat loss hypothesised,0,0,South American,1,Venezuela,,DD,Known only from holotype.
Snake sp.,Thamnodynastes duida,Squamata,Dipsadidae,1929,92,0,Potentially climate change,0,1,South American,1,Venezuela,,LC,Known only from holotype.
Setekwa River Forest Snake,Toxicocalamus grandis,Squamata,Elapidae,1912,109,0,Unknown. Potentially habitat loss.,0,0,Australian ,1,Papua New Guinea,,DD,Known only from holotype.
Schmitz? Agama,Trapelus schmitzi,Squamata,Agamidae,1957,64,0,Unknown,0,0,Eurasian,0,Chad,,DD,
Admiralty Spiny Skink,Tribolonotus brongersmai,Squamata,Scincidae,1969,52,0,Unknown,1,0,Australian ,1,Papua New Guinea,Manus Island,DD,Known only from type series.
Caqueta Blind Snake,Trilepida brevissima,Squamata,Leptotyphlopidae,1951,70,0,Unknown,0,1,South American,1,Colombia,,DD,
Guayaquila Blind Snake,Trilepida guayaquilensis,Squamata,Leptotyphlopidae,1944,77,0,Habitat Loss,0,0,South American,1,Ecuador,,DD,Collection date not given so description date applied.
Viquez's Tropical Ground Snake,Trimetopon viquezi,Squamata,Dipsadidae,1927,94,1,Habitat Loss,0,0,South American,1,Costa Rica,,CR,
Battersby's Dwarf Boa,Tropidophis battersbyi,Squamata,Tropidophiidae,1949,72,0,Unknown,0,?,South American,1,Ecuador,,DD,Known only from holotype. Collection date not given so description date applied. Exact collection locality uncertain.
Skink sp.,Tropidophorus iniquus,Squamata,Scincidae,1905,116,0,Unknown,1,0,Oriental,1,Indonesia ,Kalimantan,DD,Known only from holotype. Collection date not given so description date applied.
Rudebeck's Blind Dart Skink,Typhlacontias rudebecki,Squamata,Scincidae,1956,65,0,None,0,0,African,1,Namibia,,LC,Known only from holotype.
Gonave Island Worm Snake,Typhlops gonavensis,Squamata,Typhlopidae,1971,50,0,Habitat Loss,1,0,South American,1,Haiti,,EN,
Haitian Worm Snake,Typhlops tetrathyreus,Squamata,Typhlopidae,1970,51,0,Habitat Loss,1,0,South American,1,Haiti,,EN,
Tahan Mountain Forest Skink,Tytthoscincus cophias,Squamata,Scincidae,1922,99,0,None,0,1,Oriental,1,Malaysia,,DD,
Monitor sp.,Varanus telenesetes,Squamata,Varanidae,1910,111,0,Unknown,1,0,Australian ,1,Papua New Guinea,Rennel Island,DD,
Blind Snake sp,Xerotyphlops etheridgei,Squamata,Typhlopidae,1967,54,0,Unknown,0,0,Eurasian,0,Mauritania,,DD,Known only from holotype.
