,Common name,Scientific name,Order,Family,Presumed extinction date (usually last confirmed record where precise estimate not provided),Cause of extinction,Island/Mountain/Lowland,Location (Continent/Island),Notes,
,Gould's Mouse,Pseudomys gouldii,Rodentia,Muridae,1857,Unknown. Introduced predators hypothesised,Lowland,Australia (Widespread lowlands),,
,Small Samoan Flying Fox,Pteropus allenorum,Chiroptera,Pteropodidae,1856,Unknown,Island,Samoa,,
,Percy Island Flying Fox,Pteropus brunneus,Chiroptera,Pteropodidae,1874,Unknown. Habitat loss hypothesised.,Island,Australia (Barrier reef Islands),,
,Large Samoan Flying Fox,Pteropus coxi,Chiroptera,Pteropodidae,1839,Unknown,Island,Samoa,,
,Large Palau Flying Fox,Pteropus pilosus,Chiroptera,Pteropodidae,1874,Unknown. Hunting and habitat loss hypothesised,Island,Micronesia (Palau),,
,Lesser Mascarene Flying-fox,Pteropus subniger,Chiroptera,Pteropodidae,1862,Habitat loss and hunting,Island & Montane,Mascarenes (Rodrigues & Mauritius),,
,Guam Flying Fox,Pteropus tokudae,Chiroptera,Pteropodidae,1968,Hunting. Possibly introduced predators,Island,Micronesia (Guam),,
,Maclear's Rat,Rattus macleari,Rodentia,Muridae,1904,Disease brought by introduced black rats,Island,Christmas Island (Australia),,
,Bulldog Rat,Rattus nativitatis,Rodentia,Muridae,1898,Disease brought by introduced black rats,Island,Christmas Island (Australia),,
,Schomburgk's Deer,Rucervus schomburgki,Cetartiodactyla,Cervidae,1932,Hunting and habitat loss,Lowlands,South-East Asia (Central Thailand),,
,Marcano's Solenodon,Solenodon marcanoi,Eulipotyphla,Solenodontidae,1500,Hypothesised Introduced predators and habitat loss,Island,Caribbean (Hispaniola),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Indo-chinese Warty Pig,Sus bucculentus,Cetartiodactyla,Suidae,1892,Unknown,Lowland,Vietnam,,
,Thylacine,Thylacinus cynocephalus,Dasyuromorphia,Thylacinidae,1933,"Hunting, Disease",Island,Australia (Tasmania),Also occurred on mainland in the early Holocene.,
,Jamaican Monkey,Xenothrix mcgregori,Carnivora,Otariidae,1700,Unknown,Island,Caribbean (Jamaica),,
,Japanese Sea Lion,Zalophus japonicus,Primates,Pitheciidae,1951,Hunting,Lowland/marine,NE Asia,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
EXTINCT IN THE WILD,,,,,,,,,,
,Pere Davids Deer,Elaphurus davidianus,Cetartiodactyla,Cervidae,1939,Habitat loss & Hunting,Lowland,East China,,
,Scimitar-horned Oryx,Oryx dammah,Cetartiodactyla,Bovidae,1988,Hunting & Habitat loss,Lowland,North Africa (Sahara Desert),,
